Distance_(cm),Gray_Value
3.29907,40.667
3.30841,40.667
3.31776,40.667
3.32710,40.667
3.33645,41.000
3.34579,41.000
3.35514,41.000
3.36449,40.000
3.37383,40.000
3.38318,39.000
3.39252,40.000
3.40187,40.000
3.41122,41.000
3.42056,40.000
3.42991,40.000
3.43925,40.000
3.44860,39.000
3.45794,39.000
3.46729,39.000
3.47664,38.000
3.48598,39.000
3.49533,39.000
3.50467,39.000
3.51402,39.000
3.52336,39.000
3.53271,39.000
3.54206,39.000
3.55140,39.000
3.56075,38.000
3.57009,37.667
3.57944,37.000
3.58878,36.000
3.59813,35.000
3.60748,34.333
3.61682,34.667
3.62617,34.333
3.63551,34.000
3.64486,34.000
3.65421,35.000
3.66355,35.000
3.67290,35.000
3.68224,35.000
3.69159,34.000
3.70093,35.000
3.71028,32.333
3.71963,33.333
3.72897,33.667
3.73832,34.667
3.74766,35.000
3.75701,37.000
3.76636,40.000
3.77570,41.000
3.78505,43.333
3.79439,42.667
3.80374,41.000
3.81308,39.000
3.82243,38.000
3.83178,36.000
3.84112,34.667
3.85047,34.000
3.85981,42.667
3.86916,49.000
3.87850,54.000
3.88785,54.667
3.89720,55.333
3.90654,58.000
3.91589,58.333
3.92523,56.000
3.93458,59.000
3.94393,59.000
3.95327,59.000
3.96262,59.000
3.97196,59.000
3.98131,59.000
3.99065,59.000
4.00000,59.000
4.00935,59.667
4.01869,59.333
4.02804,59.000
4.03738,59.000
4.04673,58.333
4.05607,58.000
4.06542,57.667
4.07477,57.667
4.08411,59.667
4.09346,59.667
4.10280,59.667
4.11215,59.667
4.12150,58.667
4.13084,59.667
4.14019,58.667
4.14953,58.667
4.15888,60.667
4.16822,60.667
4.17757,61.000
4.18692,61.000
4.19626,62.333
4.20561,62.000
4.21495,63.667
4.22430,62.667
4.23364,60.667
4.24299,61.333
4.25234,60.333
4.26168,59.000
4.27103,59.000
4.28037,58.000
4.28972,52.000
4.29907,43.333
4.30841,23.000
4.31776,25.667
4.32710,34.333
4.33645,41.667
4.34579,41.667
4.35514,33.667
4.36449,24.667
4.37383,21.000
4.38318,31.333
4.39252,50.667
