lambda
4060.8601
4068.4198
4080.9899
4086.1573
4088.2476
4090.3712
4115.6059
4123.6785
4127.0443
4127.3466
4135.8438
4138.1645
4143.0314
4148.8386
4150.5351
4151.4194
4155.6701
4157.8434
4157.9708
4159.965
4172.8667
4176.813
4182.9332
4188.2189
4188.9756
4192.6118
4197.3907
4202.1078
4203.937
4206.7233
4208.3123
4209.7896
4214.8343
4217.3714
4221.5304
4223.4023
4233.9182
4234.795
4239.2172
4240.0035
4241.0415
4259.5145
4260.1505
4283.6079
4289.3523
4292.671
4327.9699
4338.2657
4344.9186
4347.7745
4369.1311
4374.7896
4389.1239
4389.6397
4431.433
4431.858
4433.8124
4435.0272
4439.5893
4443.5861
4444.0788
4446.7194
4448.3788
4451.5648
4457.5765
4459.3315
4462.905
4470.6298
4481.3936
4482.8668
4485.478
4486.9341
4490.9987
4495.8241
4503.8539
4518.7914
4526.4058
4532.4187
4576
4588.4129
4599.4054
4604.2305
4620.5818
4626.3406
4631.417
4637.1444
4638.802
4644.7636
4648.7355
4668.7597
4680.1554
4681.6048
4684.8705
4708.5916
4729.8685
4730.3421
4747.1274
4780.7756
4788.1452
4789.1654
4790.9897
4799.6061
4801.9909
4809.0525
4837.2191
4840.8967
4857.0297
4861.099
4872.6789
4873.4986
4877.2394
4883.0812
4883.5069
4886.795
4887.6964
4892.1209
4892.8584
4894.2253
4909.1021
4910.7542
4911.3878
4911.6968
4911.9359
4918.6028
4919.3855
4921.8768
4926.1443
4939.5522
4940.1923
4941.0654
4947.0177
4947.7686
4951.4876
4967.4747
4969.2836
4971.3044
4971.8828
4983.8901
4984.6411
4985.2434
4986.6438
4986.9382
4987.6138
4990.3419
4992.6608
4995.5228
5000.5071
5003.2589
5004.1883
5005.4402
5007.1086
5016.3412
5023.6362
5024.5876
5029.1588
5029.5286
5031.0203
5032.1816
5043.1619
5045.6179
5056.0519
5070.1789
5074.0862
5080.3906
5084.7555
5092.1929
5100.1192
5100.4984
5108.8708
5117.2037
5128.788
5132.8984
5138.8135
5143.1715
5149.477
5149.6634
5160.4947
5163.7108
