x,y
0.7185,0.152014
0.2355,0.100839
0.0085,0.049664
-0.1215,-0.001511
-0.2475,-0.049211
-0.358,-0.087261
-0.4445,-0.114411
-0.509,-0.1333985
-0.5565,-0.146511
-0.5895,-0.1554485
-0.6135,-0.161311
-0.6275,-0.1652235
-0.638,-0.1679985
-0.646,-0.1697735
-0.6505,-0.171111
-0.6535,-0.172111
-0.656,-0.1726235
-0.657,-0.1729485
-0.658,-0.173086
-0.659,-0.1731735
-0.659,-0.173311
-0.6595,-0.1734485
-0.66,-0.1734985
-0.66,-0.1735485
-0.66,-0.1736985
-0.224,-0.1481735
0.007,-0.0969735
0.1475,-0.0457735
0.2875,0.002939
0.407,0.0423015
0.5,0.0699015
0.5685,0.0890515
0.616,0.102089
0.65,0.110789
0.673,0.116639
