x,y
0.1795,0
0.18,3.825E-5
0.246,0.02566325
0.286,0.07666325
0.319,0.12548825
0.3485,0.17057575
0.376,0.21215075
0.4025,0.25031325
0.429,0.28511325
0.455,0.31653825
0.4805,0.34470075
0.505,0.36977575
0.5275,0.39205075
0.235,0.37695075
-0.064,0.32577575
-0.1415,0.27460075
-0.1875,0.22342575
-0.224,0.17225075
-0.255,0.12252575
-0.283,0.07602575
-0.3065,0.03270075
-0.3295,-0.00782425
-0.35,-0.04566175
-0.37,-0.08062425
-0.389,-0.11312425
-0.407,-0.14356175
-0.4245,-0.13614925
0.108,-0.08851175
0.188,-0.03731175
0.2345,0.01388825
0.2725,0.06508825
0.306,0.11503825
0.3365,0.16185075
0.365,0.20498825
0.392,0.24462575
0.418,0.28091325
0.445,0.31383825
0.471,0.34331325
0.4955,0.36947575
0.5185,0.39253825
-0.0165,0.37772575
-0.124,0.32655075
-0.1775,0.27537575
-0.2155,0.22420075
-0.248,0.17413825
-0.277,0.12693825
-0.3025,0.08308825
-0.3255,0.04217575
-0.3485,0.00402575
-0.3685,-0.03147425
-0.389,-0.06439925
-0.407,-0.09483675
-0.425,-0.12296175
0.039,-0.11083675
0.1605,-0.05963675
0.216,-0.00843675
0.256,0.04276325
0.292,0.09353825
0.3235,0.14203825
0.352,0.18682575
0.379,0.22816325
0.405,0.26618825
0.4305,0.30088825
0.4565,0.33232575
0.482,0.36046325
0.5055,0.38547575
0.0825,0.37165075
