x,y
0.515,0.10784575
0.546,0.12768325
0.569,0.14463325
0.586,0.15942075
0.5985,0.17258325
0.6095,0.18439575
0.6185,0.19507075
0.6265,0.20477075
0.634,0.21358325
0.64,0.22157075
0.6465,0.22882075
0.651,0.23535825
0.5005,0.21284575
0,0.16167075
-0.102,0.11049575
-0.155,0.05932075
-0.1935,0.00814575
-0.226,-0.04302925
-0.2535,-0.09292925
-0.279,-0.13995425
-0.3015,-0.18404175
-0.324,-0.22539175
-0.3425,-0.26422925
-0.3605,-0.30082925
-0.378,-0.33531675
-0.393,-0.36760425
-0.4075,-0.39794175
-0.4215,-0.42664175
-0.436,-0.45359175
-0.449,-0.44501675
0.1005,-0.39779175
0.1815,-0.34659175
0.229,-0.29539175
0.2665,-0.24419175
0.2995,-0.19375425
0.33,-0.14586675
0.357,-0.10142925
0.382,-0.06026675
0.407,-0.02222925
0.43,0.01283325
0.454,0.04484575
0.4775,0.07373325
0.5005,0.09959575
0.5215,0.12273325
0.5415,0.14344575
0.559,0.16184575
0.575,0.17444575
-0.011,0.15282075
-0.1155,0.10164575
-0.1685,0.05047075
-0.2075,-0.00070425
-0.239,-0.05136675
-0.269,-0.09981675
-0.293,-0.14506675
-0.3165,-0.18741675
-0.337,-0.22702925
-0.3565,-0.26409175
-0.3755,-0.29879175
-0.393,-0.33114175
-0.41,-0.36132925
-0.426,-0.38952925
-0.441,-0.41577925
-0.455,-0.44022925
-0.4675,-0.46307925
0.067,-0.44854175
0.165,-0.39734175
0.215,-0.34614175
0.255,-0.29494175
0.2895,-0.24384175
0.319,-0.19464175
0.3465,-0.14887925
0.372,-0.10635425
0.3955,-0.06694175
0.4185,-0.03045425
0.4405,0.00328325
0.462,0.03428325
0.484,0.06249575
0.505,0.08792075
0.5245,0.11074575
0.5435,0.13118325
0.56,0.14949575
0.008,0.13259575
-0.1105,0.08142075
-0.168,0.03024575
-0.2055,-0.02092925
-0.2385,-0.07170425
-0.2665,-0.12032925
-0.2925,-0.16532925
-0.315,-0.20734175
-0.3365,-0.24695425
-0.3575,-0.28400425
-0.3765,-0.31862925
-0.3935,-0.35097925
-0.411,-0.38112925
-0.427,-0.40922925
-0.442,-0.43541675
-0.4565,-0.45970425
-0.4695,-0.48220425
