Wave,Area
4348.94421788,0.0912349131832258
4351.04971222,0.06445933418646464
4356.21928462,0.00913151497991464
4356.22681769,0.00906032276422693
4357.51497344,0.0032474975514381497
4362.07248354,0.0032034787933114773
4366.83338665,0.06751895009543377
4367.0047641,0.00362833360854565
4375.6207181,0.0031108096079401105
4375.71488154,0.0031381087074439885
4378.2987261,0.0036415851619312363
4380.1480959,0.09543207782037924
4380.32888969,0.06842586379252753
4380.65657844,0.0034202422479622636
4384.34966823,0.0032749825279498614
4384.35531804,0.003274444467062309
4384.37415072,0.0035048698755990376
4384.38545033,0.01769314635463393
4391.31587891,0.0033765677434615133
4393.85452503,0.056217026800574436
4394.31404258,0.09892999053682097
4394.74907763,0.0035988706070335685
4400.57591079,0.0031153698245788056
4404.40836247,0.07037490830796257
4407.88675964,0.06582128793154413
4408.72293091,0.003129412431516792
4415.54977971,0.08494377753634176
4420.01500965,0.07444844978117154
4421.40297863,0.10475582661449193
4422.68360131,0.03586443470054495
4512.6850094,0.09184690399983127
4535.34449762,0.0032795113550906693
4535.36333031,0.003395727368199796
4535.37274665,0.0033272303689651493
4549.03209406,0.0033942854184337143
4549.03774387,0.0
4576.78582395,0.0
4580.07777752,0.0
4622.26676149,0.0
4622.2724113,0.0
4813.39592878,0.09693823254565131
4815.34322855,0.0035626684079591163
4817.26981236,0.0036766854207441867
4819.17756349,0.0037459309641476447
4821.06459866,0.0
4822.93280115,0.0
4824.67859117,0.0032525671690284757
4824.77463787,0.0
4824.78217095,0.0
4824.78970402,0.0
4824.79912037,0.0
4826.59764191,0.0
4826.60705826,0.0
4826.61270806,0.0
4826.63342402,0.0
4828.40369653,0.0
4828.41122961,0.0
4828.41876268,0.0
4828.42441249,0.0
4828.43382883,0.0
4828.44136191,0.0
4828.45454479,0.0
4830.19280174,0.0
4830.20410135,0.0
4830.21728423,0.0
4830.24176672,0.0
4830.25118307,0.0
4830.25683287,0.0
4831.96684079,0.0
4831.97437387,0.0
4831.9781404,0.0
4831.98379021,0.0
4832.00073963,0.0
4832.0082727,0.0
4832.01768905,0.0
4832.02898866,0.0
4832.038405,0.0
4832.04593808,0.0
4833.72393043,0.0
4833.7314635,0.0
4833.74276312,0.0
4833.75217946,0.0
4833.7615958,0.0
4833.76912888,0.0
4833.79361137,0.0
4833.81056079,0.0
4833.82374367,0.0
4835.46030411,0.0
4835.46783719,0.0
4835.47348699,0.0
4835.48102007,0.0
4835.49608622,0.0
4835.50738583,0.0
4835.5149189,0.0
4835.52245198,0.0
4835.53186832,0.0
4835.54316793,0.0
4835.55070101,0.0
4835.55823408,0.0
4835.56765042,0.0
4837.19667779,0.0
4837.20797741,0.0
4837.21927702,0.0
4837.22869336,0.0
4837.24375951,0.0
4837.25129258,0.0
4837.26070893,0.0
4837.27012527,0.0
4837.27765834,0.0
4837.29084123,0.0
4837.30402411,0.0
4838.8953861,0.0
4838.90103591,0.0
4838.91045225,0.0
4838.9198686,0.0
4838.93305148,0.0
4838.94623436,0.0
4838.95753397,0.0
4838.96695031,0.0
4838.97636665,0.0
4838.985783,0.0
4838.99331607,0.0
4838.99896588,0.0
4839.01026549,0.0
4839.01779856,0.0
4840.58656134,0.0
4840.59409441,0.0
4840.59974422,0.0
4840.60727729,0.0
4840.61669364,0.0
4840.62799325,0.0
4840.63552632,0.0
4840.65059247,0.0
4840.65812555,0.0
4840.66377535,0.0
4840.67507496,0.0
4840.68449131,0.0
4840.69202438,0.0
4840.69767419,0.0
4840.70520726,0.0
4840.7146236,0.0
4842.26832023,0.0
4842.2758533,0.0
4842.28526965,0.0
4842.29656926,0.0
4842.30221906,0.0
4842.30975214,0.0
4842.31916848,0.0
4842.32858483,0.0
4842.3361179,0.0
4842.35683385,0.0
4842.36248366,0.0
4842.37566654,0.0
4842.39073269,0.0
4843.93501297,0.0
4843.94066278,0.0
4843.95196239,0.0
4843.9576122,0.0
4843.96891181,0.0
4843.97644488,0.0
4843.98586122,0.0
4843.99527757,0.0
4844.00469391,0.0
4844.01034372,0.0
4844.01599352,0.0
4844.02164333,0.0
4844.03294294,0.0
4844.04424255,0.0
4844.04800909,0.0
4844.05554216,0.0
4845.57910649,0.0
4845.59228937,0.0
4845.60923879,0.0
4845.61677186,0.0
4845.62430494,0.0
4845.63560455,0.0
4845.65255397,0.0
4845.65820377,0.0
4845.66573685,0.0
4845.67515319,0.0
4845.6864528,0.0
4845.69963568,0.0
4847.21378367,0.0
4847.22320001,0.0
4847.23073308,0.0
4847.24579923,0.0
4847.25333231,0.0
4847.26274865,0.0
4847.27593153,0.0
4847.28158134,0.0
4847.29664749,0.0
4847.3079471,0.0
4847.32112998,0.0
4848.83339469,0.0
4848.84657757,0.0
4848.85976045,0.0
4848.8691768,0.0
4848.88047641,0.0
4848.89554256,0.0
4848.89930909,0.0
4848.9049589,0.0
4848.91814178,0.0
4848.92944139,0.0
4850.45112245,0.0
4850.45488899,0.0
4850.46430533,0.0
4850.47372167,0.0
4850.48878782,0.0
4850.49820417,0.0
4850.50762051,0.0
4852.05943387,0.0
4854.40598659,0.003731777126417632
4855.92955091,0.0
4855.93520072,0.0
4855.93896725,0.0
4855.94650033,0.0
4855.95591667,0.0
4857.43616582,0.0
4857.45311524,0.0
4857.46253158,0.0
4857.47383119,0.0
4857.48136427,0.0
4857.49078061,0.0
4857.49831368,0.0
4858.92959785,0.0
4858.93713092,0.0
4858.94654727,0.0
4858.95408034,0.0
4858.96726322,0.0
4858.97856283,0.0
4858.98609591,0.0
4858.99362898,0.0
4859.00116206,0.0
4859.01811147,0.0
4860.40608046,0.0
4860.4154968,0.0
4860.42491314,0.0
4860.43432949,0.0
4860.44374583,0.0
4860.45316217,0.0
4860.46257852,0.0
4860.47011159,0.0
4860.4814112,0.0
4860.49271082,0.0
4860.50212716,0.0
4860.50777696,0.0
4860.51907658,0.0
4861.89009614,0.0
4861.89762922,0.0
4861.9108121,0.0
4861.9164619,0.0
4861.92399498,0.0
4861.93152805,0.0
4861.93717786,0.0
4861.95224401,0.0
4861.96542689,0.0
4861.97484323,0.0
4861.98802611,0.0
4861.99555919,0.0
4862.00309226,0.0
4862.28369929,0.0
4863.33079665,0.0
4863.34397953,0.0
4863.34962934,0.0
4863.35904568,0.0
4863.36846202,0.0
4863.37787836,0.0
4863.39482778,0.0
4863.40424413,0.0
4863.40989393,0.0
4863.41554374,0.0
4863.43249316,0.0
4863.44002623,0.0
4863.44567604,0.0
4863.45132584,0.0
4863.45885892,0.0
4864.76773062,0.0
4864.7865633,0.0
4864.79597965,0.0
4864.80727926,0.0
4864.81857887,0.0
4864.82987848,0.0
4864.83552829,0.0
4864.85436098,0.0
4864.86566059,0.0
4864.87131039,0.0
4864.88825981,0.0
4864.89767615,0.0
4864.90520923,0.0
4866.20278132,0.0
4866.21219766,0.0
4866.22349727,0.0
4866.23479688,0.0
4866.2460965,0.0
4866.25739611,0.0
