Record Length,2500,Points,-12.6000000E-3,99.999994040E-3,,Record Length,2500,Points,-12.6000000E-3,-16.0000008E-3,
Sample Interval,9.999999747E-6,s,-12.5900004E-3,140.0000006E-3,,Sample Interval,9.999999747E-6,s,-12.5900004E-3,-16.0000008E-3,
Trigger Point,1.2600001E3,Samples,-12.5799999E-3,119.9999973E-3,,Trigger Point,1.2600001E3,Samples,-12.5799999E-3,-16.0000008E-3,
,,,-12.5700003E-3,140.0000006E-3,,,,,-12.5700003E-3,-8.000000380E-3,
,,,-12.5599997E-3,159.99999642E-3,,,,,-12.5599997E-3,-8.000000380E-3,
,,,-12.5500001E-3,179.99999225E-3,,,,,-12.5500001E-3,-8.000000380E-3,
Source,CH1,,-12.5399996E-3,219.99999881E-3,,Source,CH2,,-12.5399996E-3,-16.0000008E-3,
Vertical Units,Volts,,-12.5299999E-3,199.99998808E-3,,Vertical Units,Volts,,-12.5299999E-3,-8.000000380E-3,
Vertical Scale,499.999988824E-3,,-12.5200003E-3,219.99999881E-3,,Vertical Scale,200.00000950E-3,,-12.5200003E-3,0.0,
Vertical Offset,0,,-12.5099998E-3,219.99999881E-3,,Vertical Offset,0,,-12.5099998E-3,0.0,
Horizontal Units,s,,-12.5000002E-3,219.99999881E-3,,Horizontal Units,s,,-12.5000002E-3,-8.000000380E-3,
Horizontal Scale,2.4999999E-3,,-12.4899996E-3,219.99999881E-3,,Horizontal Scale,2.4999999E-3,,-12.4899996E-3,-8.000000380E-3,
Pt Fmt,Y,,-12.4800000E-3,239.99999464E-3,,Pt Fmt,Y,,-12.4800000E-3,-8.000000380E-3,
Yzero,0.0,,-12.4700004E-3,259.99999046E-3,,Yzero,-40.00000000E-3,,-12.4700004E-3,0.0,
Probe Atten,1.000000,,-12.4599999E-3,280.00000119E-3,,Probe Atten,1.000000,,-12.4599999E-3,0.0,
,,,-12.4500003E-3,299.99998212E-3,,,,,-12.4500003E-3,0.0,
Note, - 4:42:52 p. m.   28/09/2023,,-12.4399997E-3,299.99998212E-3,,Note, - 4:42:52 p. m.   28/09/2023,,-12.4399997E-3,0.0,
,,,-12.4300001E-3,319.99999285E-3,,,,,-12.4300001E-3,8.000000380E-3,
,,,-12.4199996E-3,299.99998212E-3,,,,,-12.4199996E-3,0.0,
,,,-12.4100000E-3,340.00000358E-3,,,,,-12.4100000E-3,8.000000380E-3,
,,,-12.4000004E-3,319.99999285E-3,,,,,-12.4000004E-3,0.0,
,,,-12.3899998E-3,359.99998450E-3,,,,,-12.3899998E-3,0.0,
,,,-12.3800002E-3,340.00000358E-3,,,,,-12.3800002E-3,8.000000380E-3,
,,,-12.3699997E-3,359.99998450E-3,,,,,-12.3699997E-3,8.000000380E-3,
,,,-12.3600001E-3,379.99999523E-3,,,,,-12.3600001E-3,8.000000380E-3,
,,,-12.3500004E-3,379.99999523E-3,,,,,-12.3500004E-3,8.000000380E-3,
,,,-12.3399999E-3,399.99997616E-3,,,,,-12.3399999E-3,8.000000380E-3,
,,,-12.3300003E-3,399.99997616E-3,,,,,-12.3300003E-3,8.000000380E-3,
,,,-12.3199997E-3,399.99997616E-3,,,,,-12.3199997E-3,8.000000380E-3,
,,,-12.3100001E-3,419.999986887E-3,,,,,-12.3100001E-3,8.000000380E-3,
,,,-12.2999996E-3,419.999986887E-3,,,,,-12.2999996E-3,8.000000380E-3,
,,,-12.2900000E-3,419.999986887E-3,,,,,-12.2900000E-3,16.0000008E-3,
,,,-12.2800004E-3,439.999997616E-3,,,,,-12.2800004E-3,16.0000008E-3,
,,,-12.2699998E-3,439.999997616E-3,,,,,-12.2699998E-3,16.0000008E-3,
,,,-12.2600002E-3,439.999997616E-3,,,,,-12.2600002E-3,16.0000008E-3,
,,,-12.2499997E-3,459.999978542E-3,,,,,-12.2499997E-3,16.0000008E-3,
,,,-12.2400001E-3,439.999997616E-3,,,,,-12.2400001E-3,24.00000021E-3,
,,,-12.2300005E-3,459.999978542E-3,,,,,-12.2300005E-3,24.00000021E-3,
,,,-12.2199999E-3,479.999989271E-3,,,,,-12.2199999E-3,24.00000021E-3,
,,,-12.2100003E-3,479.999989271E-3,,,,,-12.2100003E-3,24.00000021E-3,
,,,-12.1999998E-3,479.999989271E-3,,,,,-12.1999998E-3,24.00000021E-3,
,,,-12.1900002E-3,500.000000000E-3,,,,,-12.1900002E-3,24.00000021E-3,
,,,-12.1799996E-3,479.999989271E-3,,,,,-12.1799996E-3,24.00000021E-3,
,,,-12.1700000E-3,479.999989271E-3,,,,,-12.1700000E-3,24.00000021E-3,
,,,-12.1600004E-3,479.999989271E-3,,,,,-12.1600004E-3,24.00000021E-3,
,,,-12.1499998E-3,479.999989271E-3,,,,,-12.1499998E-3,24.00000021E-3,
,,,-12.1400002E-3,479.999989271E-3,,,,,-12.1400002E-3,24.00000021E-3,
,,,-12.1299997E-3,500.000000000E-3,,,,,-12.1299997E-3,32.00000152E-3,
,,,-12.1200001E-3,479.999989271E-3,,,,,-12.1200001E-3,32.00000152E-3,
,,,-12.1100005E-3,519.999980927E-3,,,,,-12.1100005E-3,24.00000021E-3,
,,,-12.0999999E-3,500.000000000E-3,,,,,-12.0999999E-3,24.00000021E-3,
,,,-12.0900003E-3,500.000000000E-3,,,,,-12.0900003E-3,32.00000152E-3,
,,,-12.0799998E-3,479.999989271E-3,,,,,-12.0799998E-3,32.00000152E-3,
,,,-12.0700002E-3,479.999989271E-3,,,,,-12.0700002E-3,32.00000152E-3,
,,,-12.0599996E-3,500.000000000E-3,,,,,-12.0599996E-3,32.00000152E-3,
,,,-12.0500000E-3,500.000000000E-3,,,,,-12.0500000E-3,32.00000152E-3,
,,,-12.0400004E-3,479.999989271E-3,,,,,-12.0400004E-3,32.00000152E-3,
,,,-12.0299999E-3,519.999980927E-3,,,,,-12.0299999E-3,32.00000152E-3,
,,,-12.0200003E-3,479.999989271E-3,,,,,-12.0200003E-3,40.00000283E-3,
,,,-12.0099997E-3,479.999989271E-3,,,,,-12.0099997E-3,32.00000152E-3,
,,,-12.0000001E-3,459.999978542E-3,,,,,-12.0000001E-3,32.00000152E-3,
,,,-11.9900005E-3,479.999989271E-3,,,,,-11.9900005E-3,32.00000152E-3,
,,,-11.9800000E-3,479.999989271E-3,,,,,-11.9800000E-3,40.00000283E-3,
,,,-11.9700003E-3,479.999989271E-3,,,,,-11.9700003E-3,40.00000283E-3,
,,,-11.9599998E-3,479.999989271E-3,,,,,-11.9599998E-3,40.00000283E-3,
,,,-11.9500002E-3,459.999978542E-3,,,,,-11.9500002E-3,40.00000283E-3,
,,,-11.9399996E-3,459.999978542E-3,,,,,-11.9399996E-3,40.00000283E-3,
,,,-11.9300000E-3,459.999978542E-3,,,,,-11.9300000E-3,40.00000283E-3,
,,,-11.9200004E-3,439.999997616E-3,,,,,-11.9200004E-3,40.00000283E-3,
,,,-11.9099999E-3,439.999997616E-3,,,,,-11.9099999E-3,40.00000283E-3,
,,,-11.9000003E-3,439.999997616E-3,,,,,-11.9000003E-3,40.00000283E-3,
,,,-11.8899997E-3,439.999997616E-3,,,,,-11.8899997E-3,40.00000283E-3,
,,,-11.8800001E-3,439.999997616E-3,,,,,-11.8800001E-3,40.00000283E-3,
,,,-11.8699996E-3,419.999986887E-3,,,,,-11.8699996E-3,40.00000283E-3,
,,,-11.8600000E-3,419.999986887E-3,,,,,-11.8600000E-3,40.00000283E-3,
,,,-11.8500004E-3,419.999986887E-3,,,,,-11.8500004E-3,40.00000283E-3,
,,,-11.8399998E-3,419.999986887E-3,,,,,-11.8399998E-3,40.00000283E-3,
,,,-11.8300002E-3,399.99997616E-3,,,,,-11.8300002E-3,40.00000283E-3,
,,,-11.8199997E-3,399.99997616E-3,,,,,-11.8199997E-3,40.00000283E-3,
,,,-11.8100001E-3,399.99997616E-3,,,,,-11.8100001E-3,40.00000283E-3,
,,,-11.8000004E-3,379.99999523E-3,,,,,-11.8000004E-3,40.00000283E-3,
,,,-11.7899999E-3,359.99998450E-3,,,,,-11.7899999E-3,48.00000042E-3,
,,,-11.7800003E-3,359.99998450E-3,,,,,-11.7800003E-3,40.00000283E-3,
,,,-11.7699997E-3,359.99998450E-3,,,,,-11.7699997E-3,40.00000283E-3,
,,,-11.7600001E-3,340.00000358E-3,,,,,-11.7600001E-3,40.00000283E-3,
,,,-11.7499996E-3,340.00000358E-3,,,,,-11.7499996E-3,40.00000283E-3,
,,,-11.7400000E-3,299.99998212E-3,,,,,-11.7400000E-3,40.00000283E-3,
,,,-11.7300004E-3,340.00000358E-3,,,,,-11.7300004E-3,40.00000283E-3,
,,,-11.7199998E-3,299.99998212E-3,,,,,-11.7199998E-3,40.00000283E-3,
,,,-11.7100002E-3,280.00000119E-3,,,,,-11.7100002E-3,40.00000283E-3,
,,,-11.6999997E-3,280.00000119E-3,,,,,-11.6999997E-3,40.00000283E-3,
,,,-11.6900001E-3,299.99998212E-3,,,,,-11.6900001E-3,40.00000283E-3,
,,,-11.6800005E-3,259.99999046E-3,,,,,-11.6800005E-3,40.00000283E-3,
,,,-11.6699999E-3,280.00000119E-3,,,,,-11.6699999E-3,40.00000283E-3,
,,,-11.6600003E-3,219.99999881E-3,,,,,-11.6600003E-3,40.00000283E-3,
,,,-11.6499998E-3,219.99999881E-3,,,,,-11.6499998E-3,40.00000283E-3,
,,,-11.6400002E-3,219.99999881E-3,,,,,-11.6400002E-3,40.00000283E-3,
,,,-11.6299996E-3,179.99999225E-3,,,,,-11.6299996E-3,40.00000283E-3,
,,,-11.6200000E-3,179.99999225E-3,,,,,-11.6200000E-3,40.00000283E-3,
,,,-11.6100004E-3,199.99998808E-3,,,,,-11.6100004E-3,40.00000283E-3,
,,,-11.5999999E-3,159.99999642E-3,,,,,-11.5999999E-3,40.00000283E-3,
,,,-11.5900002E-3,159.99999642E-3,,,,,-11.5900002E-3,40.00000283E-3,
,,,-11.5799997E-3,140.0000006E-3,,,,,-11.5799997E-3,40.00000283E-3,
,,,-11.5700001E-3,140.0000006E-3,,,,,-11.5700001E-3,40.00000283E-3,
,,,-11.5600005E-3,119.9999973E-3,,,,,-11.5600005E-3,40.00000283E-3,
,,,-11.5499999E-3,119.9999973E-3,,,,,-11.5499999E-3,40.00000283E-3,
,,,-11.5400003E-3,99.999994040E-3,,,,,-11.5400003E-3,32.00000152E-3,
,,,-11.5299998E-3,59.999998659E-3,,,,,-11.5299998E-3,32.00000152E-3,
,,,-11.5200002E-3,59.999998659E-3,,,,,-11.5200002E-3,32.00000152E-3,
,,,-11.5099996E-3,59.999998659E-3,,,,,-11.5099996E-3,32.00000152E-3,
,,,-11.5000000E-3,39.99999911E-3,,,,,-11.5000000E-3,32.00000152E-3,
,,,-11.4900004E-3,19.9999996E-3,,,,,-11.4900004E-3,32.00000152E-3,
